Region,Segment,Year,Market,EV,ICE,NGV,EV_Share,ICE_Share,NGV_Share
China,Total_CV,2021,4079184.625,153609.33846281882,3853753.0774311167,71822.20910606417,0.03765687326859319,0.9447361254042569,0.017607001327149825
China,Total_CV,2022,4028067.375,196071.0190797413,3766521.62168413,65474.73423612843,0.048676201469877674,0.9350691711516196,0.01625462737850268
China,Total_CV,2023,3976950.125,250282.7258694775,3667540.1397643303,59127.25936619269,0.06293333283114218,0.922199178890716,0.014867488278141956
China,Total_CV,2024,3925832.875,318993.828622063,3554059.2618816798,52779.78449625694,0.08125507090570253,0.905300703072257,0.013444226022040469
China,Total_CV,2025,4033795.875,412847.47914419905,3564578.1964664357,56370.19938936493,0.10234714198179377,0.8836783781148657,0.013974479903340406
China,Total_CV,2026,4047485.6725,524733.7704468762,3469182.884744544,53569.01730857985,0.12964437996954423,0.8571204855190365,0.013235134511419288
China,Total_CV,2027,4063834.414125,661526.1483210268,3351399.6569719864,50908.60883198675,0.1627837359764725,0.8246890289927301,0.012527235030797404
China,Total_CV,2028,4077455.49966875,824756.4527694038,3204322.4829509715,48376.563948374285,0.20227233696024555,0.7858632628145883,0.011864400225166006
China,Total_CV,2029,4093227.9684353126,1015329.7873028044,3031926.8677658625,45971.31336664565,0.24805112129899934,0.7407178127254062,0.011231065975594503
China,Total_CV,2030,4111044.2512635468,1231659.7008071204,2835720.1164432666,43664.43401315928,0.29959777261666903,0.6897809761039901,0.010621251279340726
China,Total_CV,2031,4130802.157450369,1469725.4462590087,2624110.0708819306,36966.64030942963,0.355796620181432,0.635254357594699,0.008949022223869065
China,Total_CV,2032,4152404.6058278508,1723226.2974459426,2397881.4442995237,31296.864082384345,0.4149947948298234,0.5774681592767057,0.007537045893470874
China,Total_CV,2033,4175759.369286458,1984277.1092799809,2164985.0034013153,26497.256605162027,0.47518952453887414,0.5184649813217714,0.006345494139354539
China,Total_CV,2034,4200778.832072135,2244504.200588577,1933840.4190141058,22434.21246945246,0.534306682240022,0.460352828920582,0.005340488839396062
China,Total_CV,2035,4227379.759218529,2496225.5775206108,1712159.5361420156,18994.645555901745,0.590490024483171,0.40501673226976054,0.00449324324706827
China,Total_CV,2036,4255483.077507602,2733372.800832066,1506027.4395630448,16082.837112491277,0.6423178640468189,0.3539028148233435,0.003779321129837708
China,Total_CV,2037,4285013.667382222,2951946.6616744716,1319449.2376629936,13617.768044757107,0.6889001741452693,0.307921827112646,0.003177998742084854
China,Total_CV,2038,4315900.165263111,3149999.971873548,1154369.3323633736,11530.861026189115,0.7298593227958771,0.26746896085651223,0.002671716347610686
China,Total_CV,2039,4348074.775749955,3327290.826058066,1011019.8802251557,9764.06946673349,0.7652331198660619,0.2325212726017977,0.0022456075321403333
China,Total_CV,2040,4381473.093212457,3484795.07216978,896678.0210426776,0.0,0.795347819793356,0.20465218020664397,0.0
